ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
1111 CASE AVE,04/24/2018 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.97045252, -93.05361781)"
1560 CANFIELD AVE,02/09/2017 12:00:00 AM,Single Family Residential,2,4,10,30201,"(44.97990281, -93.16609224)"
1629 HARTFORD AVE,12/26/2019 12:00:00 AM,Single Family Residential,2,3,15,36400,"(44.92354712, -93.16910164)"
700 MINNEHAHA AVE E,05/21/2020 12:00:00 AM,Commercial,2,,,,"(44.96292611, -93.07087916)"
65 WINIFRED ST W,03/19/2019 12:00:00 AM,Single Family Residential,1,2,3,37100,"(44.93166185, -93.08838782)"
1281 SHERBURNE AVE,08/08/2012 12:00:00 AM,Duplex,2,4,11,32300,"(44.95678919, -93.15445037)"
2062 COMO AVE,11/09/2001 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.97690247, -93.18743997)"
47 DOUGLAS ST,09/16/2009 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93994778, -93.11120531)"
1509 MARSHALL AVE,10/20/2014 12:00:00 AM,Commercial,2,1,13,33400,"(44.94860796, -93.1638708)"
1350 LAUREL AVE,08/08/2018 12:00:00 AM,Single Family Residential,1,1,13,35200,"(44.94481508, -93.15738956)"
664 PLUM ST,02/16/2018 12:00:00 AM,Duplex,1,7,4,34400,"(44.95103743, -93.06723779)"
1722 REANEY AVE,06/27/2019 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96371826, -93.02755833)"
434 EDMUND AVE,08/09/2019 12:00:00 AM,Duplex,2,1,7,32600,"(44.95832872, -93.11838998)"
578 SARATOGA ST S,12/21/2012 12:00:00 AM,Single Family Residential,1,3,15,36500,"(44.92410277, -93.16425534)"
302 CHEROKEE AVE,09/05/2017 12:00:00 AM,Duplex,2,2,3,37000,"(44.93220174, -93.09839505)"
1362 PALACE AVE,02/19/2020 12:00:00 AM,Single Family Residential,1,3,14,36500,"(44.92865801, -93.15784867)"
0 KELLOGG BLVD E,01/11/2013 12:00:00 AM,Commercial,2,2,4,34400,"(44.95121096, -93.07641955)"
578 LAFOND AVE,11/21/2017 12:00:00 AM,Single Family Residential,3,1,7,32600,"(44.96009853, -93.12460057)"
521 YORK AVE,08/01/2019 12:00:00 AM,Single Family Residential,2,5,5,31500,"(44.96850107, -93.07838665)"
647 SHERBURNE AVE,07/19/2018 12:00:00 AM,Single Family Residential,1,1,7,32500,"(44.95678551, -93.12749684)"
95 LITCHFIELD ST,06/08/2016 12:00:00 AM,Single Family Residential,2,1,6,31400,"(44.96961003, -93.10405495)"
474 CURTICE ST E,03/29/2008 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.92285808, -93.06568468)"
